STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,12,12,7,9,6,13,14,4,9,12,15,5,8,2,4,17
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28,25,25,28,38,26,10,14,23,16,18,40,28,9,3,3
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,61,57,74,33,59,78,44,52,41,46,46,44,76,45,35,76
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,21,32,57,62,85,85,88,77,90,57,57,69,63,43,44,59
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1,2,5,4,4,0,0,1,5,1,2,6,4,5,6,7
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,7,3,2,11,3,5,1,4,6,4,2,3,1,1,0,1
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,6,3,13,11,14,8,1,13,15,12,11,11,3,0
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1356,1388,1361,1170,1241,786,612,516,329,242,351,335,340,388,420,323
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,132,132,159,168,225,189,201,187,314,309,197,210,180,91,135,113
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,15,14,33,23,19,12,19,10,19,19,24,13,22,15,25,20
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,233,182,179,309,222,378,322,327,271,306,390,366,289,202,381,303
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,4,6,0,0,1,0,0,0,0,0,0,15,0,0,0,0
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,0,1,1,1,3,1,3,2,7,4,3,0,2
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,2,0,0,5,1,0,0,1,1,0,8,0,0,0,0,3
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1,4,1,4,4,9,4,1,3,2,2,4,1,1,3,0
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,24,24,11,22,29,44,40,29,14,25,23,24,27,32,35,38
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32,38,54,32,58,67,45,43,59,59,50,86,137,63,69,64
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,68,55,51,79,115,143,91,72,62,82,81,99,74,78,86,56
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,1,0,0,2,0,1,3,1,0,0,0,0,0
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,5232,3530,2839,3022,2777,1732,1199,687,716,567,420,500,549,471,491,432
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,26,42,47,44,31,70,49,57,39,23,43,31,37,37,33,50
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,4,2,3,9,3,6,4,3,12,13,19,18,11
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,31,42,152,121,74,66,62,62,63,56,96,109,104,80,101,87
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,1,0,1,3,3,2,4,1,0,0
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,4,9,9,3,5,7,4,3,1,0,6,0,0,0
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,2,0,0,0,2,3,0,1,1,2,2,0,0,0
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,0,1,1,1,5,6,4,6,6,3,6,8,0,4
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,95,69,46,123,151,112,63,60,27,28,33,24,20,8,3,4
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,39,27,13,4,5,8,5,3,9,11,3,4,0,1,1,0
INDIA,IMMORAL TRAFFIC(PREVENTION)ACT,8796,6598,5510,5748,5908,4541,3568,2660,2474,2499,2436,2563,2579,2070,2424,2214
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,925,2403,909,1102,2657,1347,1005,889,704,753,314,21,251,5,14,7
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10,3,0,0,0,0,0,2,0,0,1,3,1,0,0,0
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,2,2,0,0,0,6,0,0,2,2,0,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,42,26,16,45,108,59,26,19,24,37,12,3,20,11,4,2
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,9,4,8,11,8,9,2,1,1,0,1,2,0,0,0,0
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,3
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,8,1,2,0,1,0,0,0,0,0,0,0,1,1,0
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,46,54,87,89,109,102,131,107,106,80,102,62,68,18,9,8
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,11,5,6,102,30,35,25,4,2,14,10,34,9,4,7,1
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3,0,0,0,0,0,0,0,0,1,4,0,1,1,0,16
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,1,25,1,4,10,3,2,2,2,7,4,4,1,0
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
INDIA,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1052,2508,1043,1378,2917,1562,1200,1025,845,895,453,141,362,47,40,38
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,16477,18880,18382,18921,20819,21484,24738,24111,25569,27244,28246,28171,32809,30648,31066,31736
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,180,159,139,148,150,168,185,175,164,190,171,201,288,351,384,367
Assam,TOTAL CRIMES AGAINST WOMEN,4243,5092,5312,5700,6027,6801,6844,8122,9721,11555,11503,13544,17449,19139,23258,20869
Bihar,TOTAL CRIMES AGAINST WOMEN,5356,5743,5900,8091,6019,6740,7548,8662,8803,8471,10231,11229,13609,15383,13891,13400
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3989,3538,3336,3763,3599,3757,3775,3962,4002,4176,4219,4228,7012,6255,5720,5947
Goa,TOTAL CRIMES AGAINST WOMEN,83,76,121,132,121,96,80,130,164,140,127,200,440,488,365,371
Gujarat,TOTAL CRIMES AGAINST WOMEN,5805,5373,5735,6211,6343,7279,8260,8616,8009,8148,8815,9561,12283,10837,7762,8532
Haryana,TOTAL CRIMES AGAINST WOMEN,3393,4385,4170,4276,4161,4617,4645,5142,5312,5562,5491,6002,9089,8974,9446,9839
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,890,838,729,823,793,792,1018,979,954,1028,997,912,1478,1517,1289,1222
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,1656,2016,2164,2208,2144,2432,2521,2295,2624,2611,3146,3328,3509,3321,3363,2850
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2229,2490,2488,2490,2544,2979,3317,3183,3021,3087,3132,4536,6506,5972,6518,5453
Karnataka,TOTAL CRIMES AGAINST WOMEN,6002,6170,5834,5423,6057,6084,6569,6891,7852,8807,9594,10366,12027,13914,12705,14131
Kerala,TOTAL CRIMES AGAINST WOMEN,5450,5829,5653,6483,6762,7554,7837,8117,8049,9463,11288,10930,11216,11380,9708,10034
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,14549,15260,14547,15203,14529,14321,15370,14908,15827,16468,16599,16832,22061,28678,24135,26604
Maharashtra,TOTAL CRIMES AGAINST WOMEN,12524,11322,11273,12169,13370,14452,14924,15862,15048,15737,15728,16353,24895,26693,31126,31388
Manipur,TOTAL CRIMES AGAINST WOMEN,112,170,137,134,140,171,188,211,194,190,247,304,285,337,266,253
Meghalaya,TOTAL CRIMES AGAINST WOMEN,66,71,69,113,131,176,172,208,237,261,269,255,343,388,334,372
Mizoram,TOTAL CRIMES AGAINST WOMEN,126,154,147,91,95,125,151,162,150,170,167,199,177,258,158,120
Nagaland,TOTAL CRIMES AGAINST WOMEN,30,26,25,30,37,43,32,47,46,41,38,51,67,67,90,105
Odisha,TOTAL CRIMES AGAINST WOMEN,5357,4779,4946,5239,6249,6825,7304,8303,8120,8501,9433,11988,14173,14606,17144,17837
Punjab,TOTAL CRIMES AGAINST WOMEN,2361,2295,2375,1955,1969,2242,2694,2627,2631,2853,2641,3238,4994,5425,5291,5105
Rajasthan,TOTAL CRIMES AGAINST WOMEN,12175,12049,11812,13127,11657,12934,14270,14491,17316,18182,19888,21106,27933,31151,28165,27422
Sikkim,TOTAL CRIMES AGAINST WOMEN,24,28,37,49,62,47,55,48,41,42,55,68,93,110,53,153
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,10111,9798,8888,9332,8648,6489,7811,7220,6051,6708,6940,7192,7475,6325,5847,4463
Tripura,TOTAL CRIMES AGAINST WOMEN,438,536,537,670,840,964,1067,1416,1517,1678,1358,1559,1628,1615,1267,1013
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,20227,15647,12840,15485,14875,16375,20993,23569,23254,20169,22639,23569,32546,38467,35527,49262
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,749,870,886,988,786,1038,1097,1151,1188,1074,996,1067,1719,1395,1453,1588
West Bengal,TOTAL CRIMES AGAINST WOMEN,6570,6842,8508,11047,11887,12785,16544,20912,23307,26125,29133,30942,29826,38299,33218,32513
A&N Islands,TOTAL CRIMES AGAINST WOMEN,34,27,22,27,22,36,56,80,92,85,51,49,106,115,136,108
Chandigarh,TOTAL CRIMES AGAINST WOMEN,150,189,159,188,205,224,230,143,150,141,156,241,488,432,463,414
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,19,15,13,22,24,32,18,28,20,30,18,16,21,21,25,28
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,10,8,10,7,10,9,11,15,13,14,11,11,24,15,28,41
Delhi UT,TOTAL CRIMES AGAINST WOMEN,2291,2216,3282,3677,4351,4544,4804,3938,4251,4518,5234,5959,12888,15265,17104,15310
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,0,2,4,1,0,1,5,4,1,1,0,2,3,4,9,9
Puducherry,TOTAL CRIMES AGAINST WOMEN,119,141,121,110,127,149,179,129,106,115,89,61,86,77,80,95
INDIA,TOTAL CRIMES AGAINST WOMEN,143795,143034,140601,154333,155553,164765,185312,195857,203804,213585,228650,244270,309546,337922,327394,338954
