STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tamil Nadu,KIDNAPPING & ABDUCTION,607,714,632,692,783,718,1097,1160,1133,1464,1743,1693,1516,1502,1335,1043
Tripura,KIDNAPPING & ABDUCTION,35,48,29,54,43,62,81,110,92,91,116,114,124,102,120,119
Uttar Pradesh,KIDNAPPING & ABDUCTION,2879,2298,1499,2324,2256,2551,3363,4439,5078,5468,7525,7910,9737,10626,10135,12994
Uttarakhand,KIDNAPPING & ABDUCTION,126,155,134,127,125,183,227,222,247,249,283,256,633,275,336,377
West Bengal,KIDNAPPING & ABDUCTION,695,694,801,1018,1039,1199,1590,1907,2187,2764,3711,4168,3830,4976,3938,4494
A&N Islands,KIDNAPPING & ABDUCTION,2,1,2,3,1,5,9,13,14,8,12,7,12,17,21,21
Chandigarh,KIDNAPPING & ABDUCTION,50,47,28,43,45,57,46,42,36,28,46,66,174,133,165,112
D&N Haveli,KIDNAPPING & ABDUCTION,2,5,4,7,9,14,6,11,9,10,8,9,11,7,9,5
Daman & Diu,KIDNAPPING & ABDUCTION,3,2,1,0,2,1,1,1,0,2,2,0,6,1,13,9
Delhi UT,KIDNAPPING & ABDUCTION,964,893,797,881,1106,1066,1167,1136,1655,1740,2085,2160,3609,4034,4301,3891
Lakshadweep,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Puducherry,KIDNAPPING & ABDUCTION,3,6,13,8,3,13,14,9,13,14,9,16,25,7,14,11
INDIA,KIDNAPPING & ABDUCTION,14645,14506,13296,15578,15750,17414,20416,22939,25741,29795,35565,38262,51881,57311,59277,64519
Andhra Pradesh,DOWRY DEATH,420,449,466,512,443,519,613,556,546,588,599,504,492,504,436,447
Arunachal Pradesh,DOWRY DEATH,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Assam,DOWRY DEATH,59,70,60,74,99,105,100,103,170,175,121,140,170,188,216,157
Bihar,DOWRY DEATH,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182,1373,1154,987
Chhattisgarh,DOWRY DEATH,70,85,79,71,100,103,100,106,128,115,104,81,109,128,89,84
Goa,DOWRY DEATH,2,2,2,2,2,0,2,2,3,1,1,0,0,0,0,2
Gujarat,DOWRY DEATH,67,62,54,58,48,50,42,27,24,19,30,21,29,23,12,12
Haryana,DOWRY DEATH,285,256,222,251,212,255,269,302,281,284,255,258,263,293,243,260
Himachal Pradesh,DOWRY DEATH,10,6,6,8,2,3,8,3,1,2,4,2,0,1,2,3
Jammu & Kashmir,DOWRY DEATH,13,18,10,9,5,10,9,21,12,9,11,8,7,5,6,6
Jharkhand,DOWRY DEATH,217,275,262,275,257,281,303,266,295,276,282,302,307,350,267,278
Karnataka,DOWRY DEATH,220,233,194,259,261,244,251,259,264,248,267,218,277,313,254,234
Kerala,DOWRY DEATH,27,17,33,31,21,25,27,31,20,22,15,32,21,28,8,25
Madhya Pradesh,DOWRY DEATH,609,674,648,751,739,764,742,805,858,892,811,743,776,733,664,629
Maharashtra,DOWRY DEATH,308,303,368,314,341,387,436,390,341,393,339,329,320,279,268,248
Manipur,DOWRY DEATH,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Meghalaya,DOWRY DEATH,0,0,0,2,1,6,2,2,0,0,1,1,2,1,1,0
Mizoram,DOWRY DEATH,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nagaland,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Odisha,DOWRY DEATH,294,248,279,319,334,457,461,401,384,388,465,525,395,441,356,397
Punjab,DOWRY DEATH,159,166,110,113,99,130,133,128,126,121,143,118,126,90,85,80
Rajasthan,DOWRY DEATH,376,399,389,379,361,394,439,439,436,462,514,478,453,408,463,462
Sikkim,DOWRY DEATH,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,DOWRY DEATH,191,243,220,225,215,187,208,207,194,165,152,110,118,95,65,58
Tripura,DOWRY DEATH,16,16,20,20,34,35,36,16,29,25,30,37,29,33,28,19
Uttar Pradesh,DOWRY DEATH,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2469,2335,2473
Uttarakhand,DOWRY DEATH,56,66,93,82,63,80,70,73,94,75,83,71,43,38,54,57
West Bengal,DOWRY DEATH,265,273,329,396,446,445,451,451,506,507,510,593,481,501,498,535
A&N Islands,DOWRY DEATH,0,0,0,0,0,0,1,2,1,0,0,2,1,3,0,0
Chandigarh,DOWRY DEATH,3,1,1,6,3,10,1,3,2,5,2,5,1,2,5,4
D&N Haveli,DOWRY DEATH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Daman & Diu,DOWRY DEATH,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Delhi UT,DOWRY DEATH,113,135,130,126,114,137,138,129,141,143,142,134,144,153,122,162
Lakshadweep,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,DOWRY DEATH,1,5,1,6,4,3,2,2,0,1,1,0,1,1,1,0
INDIA,DOWRY DEATH,6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233,8083,8455,7634,7621
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816,6930,7735,8224,8596
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,78,68,43,61,67,63,72,72,58,84,51,67,93,121,101,109
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,850,984,878,883,899,1290,789,1272,1342,1400,1193,1840,2409,3099,4293,3378
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,562,621,688,704,451,530,853,999,726,534,790,118,331,572,198,324
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601,2261,2122,1868,1770
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,18,19,23,30,18,20,32,37,36,29,49,162,202,150,143
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,756,750,722,757,802,736,822,828,727,668,685,745,1243,1352,1164,1224
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,478,454,344,403,380,486,417,435,451,476,474,525,1560,1688,1886,1860
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,310,326,250,284,286,275,322,295,318,350,331,250,493,538,434,410
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,622,785,875,990,830,960,986,935,972,1038,1194,1322,1389,1421,1343,1235
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,297,411,424,411,293,414,342,271,276,245,317,284,524,440,844,667
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978,3913,5263,5112,5260
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735,4362,4367,3987,4029
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655,8252,9609,8049,8717
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935,8132,10001,11713,11396
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21,58,44,30,25,42,70,57,39,31,38,49,59,98,84,65
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25,23,13,34,44,57,45,54,72,48,74,43,98,105,95,68
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,52,73,88,66,49,51,66,78,61,75,72,85,81,97,75,71
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,1,4,3,7,3,8,15,11,13,9,16,18,16,8,14
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187,4618,5543,6499,8252
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,372,341,346,261,308,314,427,388,319,349,282,340,1045,1113,1123,1025
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352,4829,5999,4813,4839
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,17,25,40,38,14,13,19,10,11,24,19,29,34,21,34
